orig,dest,distance
AFG,MTQ,14573.172640930357
AFG,MUS,2893.359631988167
AFG,MWI,4928.211528410962
AFG,MYS,3489.4731058070165
AFG,MYT,3732.6950241531317
AFG,NAM,6969.720667148462
AFG,NCL,9821.58291314958
AFG,NER,7621.8176486571965
AFG,NGA,7106.3035768273285
AFG,NIC,17314.114300014506
AFG,NIU,12435.088450311621
AFG,NLD,7269.961285289329
AFG,NOR,6747.882276308649
AFG,NPL,1800.8054018101932
AFG,NRU,10468.446246831943
AFG,NZL,10020.937890374506
AFG,OMN,1287.9617926272533
AFG,PAK,433.33652366545977
AFG,PAN,16616.727089733347
AFG,PER,16557.534188926547
AFG,PHL,5673.278624802651
AFG,PLW,7069.359920783856
AFG,PNG,8125.012439608
AFG,POL,5489.914779871786
AFG,PRI,15097.624938043025
AFG,PRK,6288.49149794942
AFG,PRT,8716.493075583283
AFG,PRY,14896.860886399953
AFG,PSE,3782.606234511202
AFG,PYF,14620.268283308234
AFG,QAT,2022.5684074781184
AFG,REU,3096.145162763898
AFG,ROU,4834.554700584772
AFG,RUS,3735.459016372842
AFG,RWA,4928.167072968538
AFG,SAU,2557.6051439063112
AFG,SDN,4246.259506535881
AFG,SEN,9762.441864584407
AFG,SGP,3698.208391697586
AFG,SHN,9166.123563156567
AFG,SLB,9499.877418929205
AFG,SLE,9390.809651073858
AFG,SLV,17619.472140960068
AFG,SMR,6344.538487607233
AFG,SOM,3212.0182334976307
AFG,SPM,13977.90497958068
AFG,SRB,5463.031578541352
AFG,SSD,4580.103950123971
AFG,STP,7376.970718045096
AFG,SUR,14023.926377700678
AFG,SVK,5867.926614464056
AFG,SVN,6134.474720362258
AFG,SWE,5935.894571167603
AFG,SWZ,5654.552255176383
AFG,SYC,2463.7315423179452
AFG,SYR,3655.87777471608
AFG,TCA,15636.435765567932
AFG,TCD,6222.343354993485
AFG,TGO,7850.3309701309545
AFG,THA,3435.0232556898527
AFG,TJK,165.73514145962426
AFG,TKL,12600.656029253745
AFG,TKM,1211.2916781301385
AFG,TLS,5835.448338187173
AFG,TON,11805.54424854007
AFG,TTO,14658.91173275226
AFG,TUN,6565.173861509096
AFG,TUR,4053.733595403429
AFG,TUV,11599.238144810288
AFG,TWN,5806.9336661739635
AFG,TZA,4462.117896261814
AFG,UGA,4595.471837650908
AFG,UKR,4417.763253580749
AFG,URY,15011.1164351527
AFG,USA,16264.92671453836
AFG,UZB,266.02356354162237
AFG,VAT,6330.523927603493
AFG,VCT,14602.736803989066
AFG,VEN,15244.769259796296
AFG,VGB,14933.940257770033
AFG,VIR,14969.022964515547
AFG,VNM,4049.8037117925132
AFG,VUT,10162.849307491537
AFG,WLF,11956.20413756426
AFG,WSM,12409.611798829104
AFG,YEM,2983.1077318940966
AFG,ZAF,7253.282516489195
AFG,ZMB,5548.758150299125
AFG,ZWE,5347.169862482161
AGO,ABW,9407.24569398545
AGO,AFG,6923.989150988715
AGO,AGO,0.0
AGO,AIA,8800.502256898704
AGO,ALB,5380.510550688471
AGO,AND,5797.934060135191
AGO,ARE,5415.795364865385
AGO,ARG,8305.43294021501
AGO,ARM,5783.261876495033
AGO,ASM,19283.26584535171
AGO,ATG,8654.579627819665
AGO,AUS,14358.802524197485
AGO,AUT,6124.933713089893
AGO,AZE,6030.103116249601
AGO,BDI,1880.202020771036
AGO,BEL,6619.595573519224
AGO,BEN,2060.1466703892243
AGO,BFA,2858.4201134882983
AGO,BGD,8576.577465894336
AGO,BGR,5528.833579750529
AGO,BHR,5220.194584927489
AGO,BHS,10305.690461625674
AGO,BIH,5649.204584508899
AGO,BLR,6664.483320928061
AGO,BLZ,11359.106616576206
AGO,BMU,9337.79489335736
AGO,BOL,9072.930354875682
AGO,BRA,6837.795034252002
AGO,BRB,8339.39718933338
AGO,BRN,11236.45826526502
AGO,BTN,8506.278014323236
AGO,BWA,2172.0429588500183
AGO,CAF,1530.0587119856411
AGO,CAN,10529.400562782055
AGO,CHE,6126.412243016002
AGO,CHL,9517.634142623985
AGO,CHN,10522.805457430424
AGO,CIV,2477.707895410131
AGO,CMR,1393.1036816991204
AGO,COD,538.2406328102542
AGO,COG,542.8612474492568
AGO,COK,18488.950645117
AGO,COL,9758.531163522264
AGO,COM,3350.3700527371716
AGO,CPV,4835.534668143409
AGO,CRI,10858.287599968264
AGO,CUB,10760.082758260338
AGO,CUW,9287.73736106887
AGO,CYM,10633.26396195838
AGO,CYP,4972.155519289844
AGO,CZE,6347.515717214957
AGO,DEU,6622.451623900726
AGO,DJI,3859.4297802256424
AGO,DMA,8567.914144956298
AGO,DNK,6973.854571005902
AGO,DOM,9486.049074808905
AGO,DZA,5136.385949651272
AGO,ECU,10219.953710222311
AGO,EGY,4442.752084400201
AGO,ERI,3716.6500588273984
AGO,ESH,4937.889410688806
AGO,ESP,5754.526866229723
AGO,EST,7226.394354801762
AGO,ETH,3338.4330876599142
AGO,FIN,7298.806440312683
AGO,FJI,18081.388234013564
AGO,FLK,8818.996566305661
AGO,FRA,6456.182085040333
AGO,FRO,8134.2339803124005
AGO,GAB,1090.5739267779786
AGO,GBR,6811.6067769574165
AGO,GEO,5907.700372512938
AGO,GHA,2179.2770392434436
AGO,GIB,5381.101621350522
AGO,GIN,3613.1527680427275
AGO,GLP,8617.349844000057
AGO,GMB,4131.62305714962
AGO,GNB,3933.227295535213
AGO,GNQ,1460.2204883353197
AGO,GRC,5048.831971289617
AGO,GRD,8539.16815613518
AGO,GRL,10033.378901863105
AGO,GTM,11536.523002024745
AGO,GUF,7412.020131237331
AGO,GUM,14137.52651354475
AGO,GUY,8067.8781459943375
AGO,HKG,10858.149774405003
AGO,HND,11195.974254340092
AGO,HRV,5873.964716821568
AGO,HTI,9728.783635147769
AGO,HUN,6029.869681866366
AGO,IDN,10409.710816198885
AGO,IMN,7227.84021675293
AGO,IND,7428.610532460892
AGO,IRL,7200.037596816898
AGO,IRN,5815.751064177255
AGO,IRQ,5283.308395506859
AGO,ISL,8862.667647145427
AGO,ISR,4741.029030351091
AGO,ITA,5492.181916658752
AGO,JAM,10166.101320031243
AGO,JOR,4785.75469185248
AGO,JPN,12502.218603733321
AGO,KAZ,7582.4664389577965
AGO,KEN,2728.693490880929
AGO,KGZ,7519.413544615654
AGO,KHM,10097.25314985851
AGO,KIR,17503.72374778363
AGO,KNA,8746.687648014948
AGO,KOR,11429.621131695374
AGO,KWT,5225.846446008689
AGO,LAO,9794.38105812747
AGO,LBN,4932.922309747619
AGO,LBR,3152.161089282487
AGO,LBY,4511.212884504562
AGO,LCA,8499.72032380872
AGO,LIE,6106.261430845087
AGO,LKA,7453.938143528229
AGO,LSO,2652.0324574793253
AGO,LTU,6745.7693635575715
AGO,LUX,6443.739038992236
AGO,LVA,6978.6752674829595
AGO,MAC,10798.331418637552
AGO,MAR,5233.190095042544
AGO,MCO,5779.01108979456
AGO,MDA,5995.22376605709
AGO,MDG,3928.440341174854
AGO,MDV,6756.063994551175
AGO,MEX,12372.621723634558
AGO,MHL,17020.2201869716
AGO,MKD,5451.425268246081
AGO,MLI,3348.4011307267187
AGO,MLT,4825.200598861958
AGO,MMR,9138.735304517704
